Asia,Australia and Oceania,Central America and the Caribbean,Europe,Middle East and North Africa,North America,Sub-Saharan Africa
Indonesia,Tuvalu,Antigua and Barbuda ,Iceland,Afghanistan,Greenland,Namibia
India,Samoa ,Saint Kitts and Nevis ,Russia,Lebanon,United States of America,Djibouti
South Korea,Fiji,Saint Lucia,Moldova ,Turkey,Canada,Cameroon
Kazakhstan,Marshall Islands,Trinidad and Tobago,Malta,Iraq,Mexico,Nigeria
Mongolia,New Zealand,Guatemala,Greece,Kuwait,,Senegal
Malaysia,Solomon Islands,Saint Vincent and the Grenadines,Ukraine,Tunisia ,,Rwanda
Singapore,Vanuatu,Jamaica,Finland,Yemen,,South Sudan
Brunei,Australia,Grenada,United Kingdom,United Arab Emirates,,Guinea
Kyrgyzstan,Papua New Guinea,Honduras,San Marino,Bahrain,,Botswana
Taiwan,Nauru,Belize,Kosovo,Pakistan,,Sudan
Sri Lanka,Kiribati,Barbados,Hungary,Somalia,,Tanzania
North Korea,Tonga,El Salvador,Serbia,Egypt,,Sao Tome and Principe
Cambodia,Palau,Dominican Republic,Poland,Iran,,Cape Verde
Tajikistan,East Timor,The Bahamas,Lithuania,Jordan,,Guinea-Bissau
Turkmenistan,Federated States of Micronesia,Cuba,Portugal,Syria,,South Africa
Maldives,,Nicaragua,Georgia,Morocco,,Sierra Leone
Laos,,Costa Rica,Bulgaria,Azerbaijan,,Mozambique
Myanmar,,Panama,Austria,Saudi Arabia,,Chad
Bhutan,,Dominica,Romania,Libya,,Togo
Vietnam,,Haiti,Denmark,Algeria,,Mali
Japan,,,Luxembourg,Oman,,Equatorial Guinea
Philippines,,,Croatia,Israel,,Eritrea
China,,,Sweden,Qatar,,Niger
Bangladesh,,,Cyprus,NULL,,Madagascar
Uzbekistan,,,Montenegro,,,Gabon
Thailand,,,Vatican City,,,Angola
Nepal,,,France,,,Ethiopia
,,,Netherlands,,,Liberia
,,,Estonia,,,Democratic Republic of the Congo
,,,Bosnia and Herzegovina,,,Seychelles 
,,,Monaco,,,Mauritius 
,,,Germany,,,Comoros
,,,Slovenia,,,Burundi
,,,Ireland,,,Zambia
,,,Latvia,,,Lesotho
,,,Belgium,,,The Gambia
,,,Switzerland,,,Benin
,,,Italy,,,Malawi
,,,Belarus,,,Mauritania
,,,Czech Republic,,,Central African Republic
,,,Liechtenstein,,,Kenya
,,,Macedonia,,,Ghana
,,,Slovakia,,,Swaziland
,,,Spain,,,Burkina Faso
,,,Andorra,,,Uganda
,,,Albania,,,Zimbabwe
,,,Norway,,,Cote d'Ivoire
,,,Armenia,,,Republic of the Congo
,,,,,,NULL
